,model_number,model_type,features,max_depth,min_samples_leaf,c_value
0,baseline,baseline,,,,
1,1,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",3.0,,
2,2,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",4.0,,
3,3,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",5.0,,
4,4,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",6.0,,
5,5,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",7.0,,
6,6,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",8.0,,
7,7,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",9.0,,
8,8,decision tree,"['enc_monthlycharges_group_76-100', 'enc_tenure_months_1-6']",10.0,,
9,9,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",3.0,,
10,10,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",4.0,,
11,11,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",5.0,,
12,12,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",6.0,,
13,13,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",7.0,,
14,14,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",8.0,,
15,15,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",9.0,,
16,16,decision tree,"['enc_monthlycharges_group_76-100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",10.0,,
17,17,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",3.0,,
18,18,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",4.0,,
19,19,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",5.0,,
20,20,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",6.0,,
21,21,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",7.0,,
22,22,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",8.0,,
23,23,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",9.0,,
24,24,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",10.0,,
25,25,decision tree,"['enc_monthlycharges_group_51-75', 'enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",3.0,,
26,26,decision tree,"['enc_monthlycharges_group_51-75', 'enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_tenure_months_1-6']",4.0,,
27,27,decision tree,"['enc_monthlycharges_group_76-100', 'enc_monthlycharges_group_>100', 'enc_totalcharges_group_0-2k', 'enc_totalcharges_group_2k-4k', 'enc_tenure_months_1-6']",5.0,,
