,model_number,sample_type,metric_type,score
0,baseline,train,accuracy,0.7343154686309372
1,baseline,train,precision,0.0
2,baseline,train,recall,0.0
3,baseline,train,f1_score,0.0
4,baseline,validate,f1_score,0.0
5,baseline,validate,accuracy,0.7341862117981521
6,baseline,validate,precision,0.0
7,baseline,validate,recall,0.0
8,1,train,accuracy,0.7599695199390398
9,1,train,precision,0.7512437810945274
10,1,train,recall,0.14435946462715105
11,1,train,f1_score,0.2421812349639134
12,1,validate,f1_score,0.3211991434689508
13,1,validate,accuracy,0.7746979388770433
14,1,validate,precision,0.8064516129032258
15,1,validate,recall,0.20053475935828877
16,2,train,accuracy,0.7599695199390398
17,2,train,precision,0.7512437810945274
18,2,train,recall,0.14435946462715105
19,2,train,f1_score,0.2421812349639134
20,2,validate,f1_score,0.3211991434689508
21,2,validate,accuracy,0.7746979388770433
22,2,validate,precision,0.8064516129032258
23,2,validate,recall,0.20053475935828877
24,3,train,accuracy,0.7599695199390398
25,3,train,precision,0.7512437810945274
26,3,train,recall,0.14435946462715105
27,3,train,f1_score,0.2421812349639134
28,3,validate,f1_score,0.3211991434689508
29,3,validate,accuracy,0.7746979388770433
30,3,validate,precision,0.8064516129032258
31,3,validate,recall,0.20053475935828877
32,4,train,accuracy,0.7599695199390398
33,4,train,precision,0.7512437810945274
34,4,train,recall,0.14435946462715105
35,4,train,f1_score,0.2421812349639134
36,4,validate,f1_score,0.3211991434689508
37,4,validate,accuracy,0.7746979388770433
38,4,validate,precision,0.8064516129032258
39,4,validate,recall,0.20053475935828877
40,5,train,accuracy,0.7599695199390398
41,5,train,precision,0.7512437810945274
42,5,train,recall,0.14435946462715105
43,5,train,f1_score,0.2421812349639134
44,5,validate,f1_score,0.3211991434689508
45,5,validate,accuracy,0.7746979388770433
46,5,validate,precision,0.8064516129032258
47,5,validate,recall,0.20053475935828877
48,6,train,accuracy,0.7599695199390398
49,6,train,precision,0.7512437810945274
50,6,train,recall,0.14435946462715105
51,6,train,f1_score,0.2421812349639134
52,6,validate,f1_score,0.3211991434689508
53,6,validate,accuracy,0.7746979388770433
54,6,validate,precision,0.8064516129032258
55,6,validate,recall,0.20053475935828877
56,7,train,accuracy,0.7599695199390398
57,7,train,precision,0.7512437810945274
58,7,train,recall,0.14435946462715105
59,7,train,f1_score,0.2421812349639134
60,7,validate,f1_score,0.3211991434689508
61,7,validate,accuracy,0.7746979388770433
62,7,validate,precision,0.8064516129032258
63,7,validate,recall,0.20053475935828877
64,8,train,accuracy,0.7599695199390398
65,8,train,precision,0.7512437810945274
66,8,train,recall,0.14435946462715105
67,8,train,f1_score,0.2421812349639134
68,8,validate,f1_score,0.3211991434689508
69,8,validate,accuracy,0.7746979388770433
70,8,validate,precision,0.8064516129032258
71,8,validate,recall,0.20053475935828877
72,9,train,accuracy,0.7670815341630683
73,9,train,precision,0.6329896907216495
74,9,train,recall,0.29349904397705545
75,9,train,f1_score,0.40104506858262573
76,9,validate,f1_score,0.45094664371772814
77,9,validate,accuracy,0.7732764747690121
78,9,validate,precision,0.6328502415458938
79,9,validate,recall,0.3502673796791444
80,10,train,accuracy,0.7670815341630683
81,10,train,precision,0.6329896907216495
82,10,train,recall,0.29349904397705545
83,10,train,f1_score,0.40104506858262573
